clients_id;policies_id;effective_date;status;clients_name;email;risk_level;type;coverage_amount;premium;agents_id;agents_name;agents_region
1169;39;2025/01/23;Pending;Holly Valentine;tammyfuller@example.com;High;Home;335206;89;85;Lindsay Dyer;Illinois
1333;132;2025/01/14;Rejected;Patricia Walker;kreynolds@example.net;Medium;Health;405816;409;42;Jessica Lopez;Tennessee
1653;158;2025/01/25;Pending;Ellen Perkins;donpearson@example.com;Low;Auto;791867;285;37;Mary Lin;New Jersey
2803;145;2025/02/02;Approved;Joshua Powell;jameswright@example.net;Medium;Life;130649;367;88;Thomas Crawford;Indiana
2862;94;2025/01/17;Approved;William Kelley;racheljones@example.com;High;Auto;203316;357;98;Kim Williams;Maryland
2344;172;2025/02/16;Approved;Christina Contreras;alexanderhudson@example.net;Medium;Home;830781;66;5;Dr. Melvin Smith;Oregon
1046;60;2025/01/15;Pending;John White;briannahudson@example.net;Medium;Life;273954;448;40;Olivia Coffey;Louisiana
414;181;2025/02/20;Pending;Brian Ross;taylorjohnson@example.com;High;Home;688656;409;91;Crystal Oconnor;Kentucky
562;28;2025/02/06;Rejected;Sharon Kennedy;danielfloyd@example.com;High;Auto;697016;180;45;Brenda Smith;Rhode Island
781;26;2025/01/25;Rejected;Jacqueline Cobb;dcox@example.org;High;Auto;376270;439;72;Kevin Guzman;Nevada
1732;183;2025/02/02;Approved;Denise Baker;michaelrosales@example.com;High;Auto;321466;299;61;Brenda Stone;New Jersey
93;131;2025/01/26;Rejected;Krista Gonzales;jwashington@example.org;High;Home;166118;226;35;Tyler Velez;Tennessee
2256;64;2025/02/04;Rejected;Christopher Cooke;travis12@example.com;High;Auto;71560;498;12;Tamara Blevins;Indiana
1844;7;2025/01/07;Rejected;Ashley Farley;shannon47@example.org;High;Health;92683;373;3;Joseph Fuller;Missouri
1759;73;2025/01/07;Approved;Emily Ware;cynthia96@example.net;Low;Auto;875283;427;100;Linda Glenn;Georgia
1000;67;2025/01/28;Pending;Eric Massey;xmaldonado@example.com;Medium;Life;722643;165;22;Victoria Yang;Massachusetts
994;16;2025/02/18;Approved;Tammy Bennett;ashley65@example.org;Medium;Home;220557;68;67;John King;Hawaii
1972;90;2025/02/02;Rejected;Donna Carter;anne77@example.net;Low;Life;647050;182;37;Mary Lin;New Jersey
1604;166;2025/01/10;Rejected;Mark Chavez;whiteheaddonald@example.net;Medium;Life;237123;171;2;Cindy Lewis;Montana
854;124;2025/01/30;Rejected;Brooke Cunningham;tara81@example.com;Medium;Health;729980;57;85;Lindsay Dyer;Illinois
2119;72;2025/01/20;Rejected;Nicholas Weaver;uhoover@example.net;High;Life;365909;413;41;Natasha Gallagher;Florida
2355;22;2025/01/28;Pending;Ryan White;harveysarah@example.com;Medium;Home;436284;254;37;Mary Lin;New Jersey
881;131;2025/02/18;Approved;Brandon Bridges;wrodriguez@example.net;Low;Home;166118;226;35;Tyler Velez;Tennessee
1412;3;2025/01/08;Rejected;Stephanie King;btran@example.com;Medium;Life;811273;85;14;Michael Hall;Arkansas
2208;36;2025/01/10;Pending;Amy Smith;margaretmann@example.net;Low;Auto;609422;443;47;Angela Gibson;Minnesota
627;45;2025/02/15;Approved;Richard Becker;jennifersummers@example.org;Medium;Auto;10319;437;14;Michael Hall;Arkansas
1135;6;2025/01/26;Approved;James Miller;john43@example.com;High;Life;567187;168;3;Joseph Fuller;Missouri
1153;193;2025/02/17;Approved;April Carey;tbenitez@example.org;High;Health;913736;499;75;Patrick Owens;Florida
2685;89;2025/01/09;Approved;Chad Chavez;ncooper@example.com;Medium;Health;339482;173;83;Cody Ford;Alabama
2397;35;2025/02/09;Rejected;Megan Erickson;oconnorparker@example.org;Medium;Home;216301;207;65;Adam Payne;Florida
1306;177;2025/01/28;Rejected;James Campbell;christopher10@example.org;Low;Life;572504;337;90;Bryan Delgado;Missouri
874;57;2025/01/29;Approved;Randall Hale;williamsdarrell@example.org;Low;Life;456162;159;34;Mrs. Jamie King MD;Hawaii
